L. Dennis Michael,Rancho Cucamonga,California,http://www.cityofrc.us/cityhall/council/michael.asp
Gayle McLaughlin,Richmond,California,http://www.ci.richmond.ca.us/index.asp?NID=55
Kevin Johnson,Sacramento,California,http://www.cityofsacramento.org/mayor/index.html
Dennis Donohue,Salinas,California,http://www.ci.salinas.ca.us/leadership/mayor.cfm
Patrick J. Morris,San Bernardino,California,http://www.ci.san-bernardino.ca.us/cityhall/mayor/default.asp
Edwin M. Lee,San Francisco,California,http://www.sfmayor.org/
Andrew F. Kotyuk,San Jacinto,California,http://www.san-jacinto.ca.us/city-govt/council.html
Chuck Reed,San Jose,California,http://www.sanjoseca.gov/council.html
Stephen H. Cassidy,San Leandro,California,http://www.sanleandro.org/depts/cityhall/council/mayor_stephen_cassidy/default.asp
Miguel Pulido,Santa Ana,California,http://www.ci.santa-ana.ca.us/cm/mayormiguelpulido.asp
Helene Schneider,Santa Barbara,California,http://www.santabarbaraca.gov/Government/Council/Meet_Us/
Don Lane,Santa Cruz,California,http://www.cityofsantacruz.com/index.aspx?page=789
Larry Forester,Signal Hill,California,http://www.cityofsignalhill.org/Directory.aspx?EID=18
Ann Johnston,Stockton,California,http://www.stocktongov.com/government/council/mayor.html
Jeffrey Prang,West Hollywood,California,http://www.weho.org/index.aspx?page=118
Christopher Cabaldon,West Sacramento,California,http://cityofwestsacramento.org/city/council/default.asp
Matthew Appelbaum,Boulder,Colorado,http://www.bouldercolorado.gov/index.php?option=com_content&view=article&id=8130:council-member-matthew-appelbaum&catid=54:council-members&Itemid=2009
Michael B. Hancock,Denver,Colorado,http://www.denvergov.org/mayor
Randy P. Penn,Englewood,Colorado,http://www.ci.englewood.co.us/Index.aspx?page=105
Marjorie Sloan,Golden,Colorado,http://www.cityofgolden.net/government/
Carolyn Cutler,Lafayette,Colorado,http://www.cityoflafayette.com/Directory.aspx?EID=44
Bob Murphy,Lakewood,Colorado,http://lakewood.org/CityCouncil/
Robert Muckle,Louisville,Colorado,http://www.louisvilleco.gov/GOVERNMENT/CityCouncil/tabid/61/Default.aspx
Marc A. Snyder,Manitou Springs,Colorado,http://www.manitouspringsgov.com/government/council
Joe Gierlach,Nederland,Colorado,http://nederlandco.org/board-of-trustees/board-of-trustees/
