first_name,last_name,state
underwood,lauren,illinois
upton,fred,michigan
vandrew,jefferson,new jersey
vanhollen,chris,maryland
vargas,juan,california
veasey,marc,texas
vela,filemon,texas
velázquez,nydia,new york
visclosky,peter,indiana
wagner,ann,missouri
walberg,tim,michigan
walden,greg,oregon
walker,mark,north carolina
walorski,jackie,indiana
waltz,michael,florida
warner,mark,virginia
warren,elizabeth,massachusetts
wassermanschultz,debbie,florida
waters,maxine,california
watkins,steven,kansas
watsoncoleman,bonnie,new jersey
weber,randy,texas
webster,daniel,florida
welch,peter,vermont
wenstrup,brad,ohio
westerman,bruce,arkansas
wexton,jennifer,virginia
whitehouse,sheldon,rhode island
wicker,roger,mississippi
wild,susan,pennsylvania
williams,roger,texas
wilson,frederica,florida
wilson,joe,south carolina
wittman,robert,virginia
womack,steve,arkansas
woodall,rob,georgia
wright,ron,texas
wyden,ron,oregon
yarmuth,john,kentucky
yoho,ted,florida
young,don,alaska
young,todd,indiana
zeldin,lee,new york
