first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
buck,ken,colorado,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bucshon,larry,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
budd,ted,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
burchett,tim,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
burgess,michael,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
burr,richard,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bustos,cheri,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
butterfield,george“g.k.”,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
byrne,bradley,alabama,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
calvert,ken,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cantwell,maria,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
capito,shelley,virginia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
carbajal,salud,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cardin,benjamin,maryland,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
carper,thomas,delaware,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
carson,andré,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
carter,buddy,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
carter,john,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cartwright,matthew,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
case,ed,hawaii,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
casey,robert“bob”,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cassidy,bill,louisiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
casten,sean,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
castor,kathy,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
castro,joaquin,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
chabot,steve,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cheney,liz,wyoming,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
chu,judy,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cicilline,david,rhode island,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cisneros,gilbert,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
clark,katherine,massachusetts,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
clarke,yvette,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
clay,lacy,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cleaver,emanuel,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cline,ben,virginia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cloud,michael,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
clyburn,james“jim”,south carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cohen,steve,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cole,tom,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
collins,doug,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
collins,susan,maine,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
comer,james,kentucky,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
conaway,michael,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
connolly,gerald,virginia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cook,paul,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
coons,chris,delaware,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cooper,jim,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cornyn,john,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
correa,luis,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cortezmasto,catherine,nevada,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
costa,jim,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cotton,tom,arkansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
courtney,joe,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cox,tj,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
craig,angie,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cramer,kevin,north dakota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
crapo,michael,idaho,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
crawford,eric“rick”,arkansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
crenshaw,dan,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
crist,charlie,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
crow,jason,colorado,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cruz,ted,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cuellar,henry,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cunningham,joe,south carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
curtis,john,utah,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cárdenas,tony,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
daines,steve,montana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
davids,sharice,kansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
davidson,warren,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
davis,danny,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
davis,rodney,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
davis,susan,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
defazio,peter,oregon,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
degette,diana,colorado,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
delauro,rosa,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
desaulnier,mark,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
dean,madeleine,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
delbene,suzan,washington,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
delgado,antonio,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
demings,val,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
desjarlais,scott,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
deutch,theodore“ted”,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
diaz-balart,mario,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
dingell,debbie,michigan,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
doggett,lloyd,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
doyle,michael“mike”,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
duckworth,tammy,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
duncan,jeff,south carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
dunn,neal,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
durbin,richard,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
emmer,tom,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
engel,eliot,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
