first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
dominic,mcguire,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
earl,barron,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
earl,clark,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
earl,watson,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
ed,davis,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
eddie,house,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
eduardo,najera,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
earl,boykins,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dirk,nowitzki,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dexter,pittman,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
devin,harris,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
deandre,jordan,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
demar,derozan,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
demarcus,cousins,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
demarre,carroll,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
desagana,diop,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
deshawn,stevenson,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
delonte,west,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
derek,fisher,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
derrick,caracter,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
derrick,favors,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
derrick,rose,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
devin,ebanks,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,douglas-roberts,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,bosh,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,andersen,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andres,nocioni,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andrew,bogut,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andrew,bynum,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
antawn,jamison,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andrei,kirilenko,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
anthony,parker,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
anthony,randolph,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
anthony,tolliver,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
antoine,wright,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
armon,johnson,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andrea,bargnani,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andre,miller,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
andre,iguodala,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
aj,price,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
aaron,brooks,phoenix,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
al,harrington,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
al,horford,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
al,jefferson,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
al-farouq,aminu,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
alexis,ajinca,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
alonzo,gee,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
amir,johnson,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
anderson,varejao,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
arron,afflalo,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
elton,brand,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
austin,daye,detroit,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
baron,davis,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
byron,mullens,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
c.j.,watson,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
cj,miles,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
carlos,arroyo,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
carlos,boozer,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
carlos,delfino,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
caron,butler,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
channing,frye,phoenix,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
charlie,villanueva,detroit,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chase,budinger,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
brian,skinner,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
