first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
desaulnier,mark,california,,united states,america,en,,,,,,politicians
dean,madeleine,pennsylvania,,united states,america,en,,,,,,politicians
delbene,suzan,washington,,united states,america,en,,,,,,politicians
delgado,antonio,new york,,united states,america,en,,,,,,politicians
demings,val,florida,,united states,america,en,,,,,,politicians
desjarlais,scott,tennessee,,united states,america,en,,,,,,politicians
deutch,theodore“ted”,florida,,united states,america,en,,,,,,politicians
diaz-balart,mario,florida,,united states,america,en,,,,,,politicians
dingell,debbie,michigan,,united states,america,en,,,,,,politicians
doggett,lloyd,texas,,united states,america,en,,,,,,politicians
doyle,michael“mike”,pennsylvania,,united states,america,en,,,,,,politicians
duckworth,tammy,illinois,,united states,america,en,,,,,,politicians
duncan,jeff,south carolina,,united states,america,en,,,,,,politicians
dunn,neal,florida,,united states,america,en,,,,,,politicians
durbin,richard,illinois,,united states,america,en,,,,,,politicians
emmer,tom,minnesota,,united states,america,en,,,,,,politicians
engel,eliot,new york,,united states,america,en,,,,,,politicians
enzi,michael,wyoming,,united states,america,en,,,,,,politicians
ernst,joni,iowa,,united states,america,en,,,,,,politicians
escobar,veronica,texas,,united states,america,en,,,,,,politicians
eshoo,anna,california,,united states,america,en,,,,,,politicians
espaillat,adriano,new york,,united states,america,en,,,,,,politicians
estes,ron,kansas,,united states,america,en,,,,,,politicians
evans,dwight,pennsylvania,,united states,america,en,,,,,,politicians
feinstein,dianne,california,,united states,america,en,,,,,,politicians
ferguson,drew,georgia,,united states,america,en,,,,,,politicians
finkenauer,abby,iowa,,united states,america,en,,,,,,politicians
fischer,deb,nebraska,,united states,america,en,,,,,,politicians
fitzpatrick,brian,pennsylvania,,united states,america,en,,,,,,politicians
fleischmann,charles“chuck”,tennessee,,united states,america,en,,,,,,politicians
fletcher,lizzie,texas,,united states,america,en,,,,,,politicians
flores,bill,texas,,united states,america,en,,,,,,politicians
fortenberry,jeff,nebraska,,united states,america,en,,,,,,politicians
foster,bill,illinois,,united states,america,en,,,,,,politicians
foxx,virginia,north carolina,,united states,america,en,,,,,,politicians
frankel,lois,florida,,united states,america,en,,,,,,politicians
fudge,marcia,ohio,,united states,america,en,,,,,,politicians
fulcher,russ,idaho,,united states,america,en,,,,,,politicians
gabbard,tulsi,hawaii,,united states,america,en,,,,,,politicians
gaetz,matt,florida,,united states,america,en,,,,,,politicians
gallagher,mike,wisconsin,,united states,america,en,,,,,,politicians
gallego,ruben,arizona,,united states,america,en,,,,,,politicians
garamendi,john,california,,united states,america,en,,,,,,politicians
garcia,mike,california,,united states,america,en,,,,,,politicians
garcia,sylvia,texas,,united states,america,en,,,,,,politicians
garcía,jesús,illinois,,united states,america,en,,,,,,politicians
gardner,cory,colorado,,united states,america,en,,,,,,politicians
gianforte,greg,montana,,united states,america,en,,,,,,politicians
gibbs,bob,ohio,,united states,america,en,,,,,,politicians
gillibrand,kirsten,new york,,united states,america,en,,,,,,politicians
gohmert,louie,texas,,united states,america,en,,,,,,politicians
golden,jared,maine,,united states,america,en,,,,,,politicians
gomez,jimmy,california,,united states,america,en,,,,,,politicians
gonzalez,anthony,ohio,,united states,america,en,,,,,,politicians
gonzalez,vicente,texas,,united states,america,en,,,,,,politicians
gooden,lance,texas,,united states,america,en,,,,,,politicians
gosar,paul,arizona,,united states,america,en,,,,,,politicians
gottheimer,josh,new jersey,,united states,america,en,,,,,,politicians
graham,lindsey,south carolina,,united states,america,en,,,,,,politicians
granger,kay,texas,,united states,america,en,,,,,,politicians
grassley,charles“chuck”,iowa,,united states,america,en,,,,,,politicians
graves,garret,louisiana,,united states,america,en,,,,,,politicians
graves,sam,missouri,,united states,america,en,,,,,,politicians
graves,tom,georgia,,united states,america,en,,,,,,politicians
green,al,texas,,united states,america,en,,,,,,politicians
green,mark,tennessee,,united states,america,en,,,,,,politicians
griffith,morgan,virginia,,united states,america,en,,,,,,politicians
grijalva,raúl,arizona,,united states,america,en,,,,,,politicians
grothman,glenn,wisconsin,,united states,america,en,,,,,,politicians
guest,michael,mississippi,,united states,america,en,,,,,,politicians
guthrie,brett,kentucky,,united states,america,en,,,,,,politicians
haaland,debra,new mexico,,united states,america,en,,,,,,politicians
hagedorn,jim,minnesota,,united states,america,en,,,,,,politicians
harder,josh,california,,united states,america,en,,,,,,politicians
harris,andy,maryland,,united states,america,en,,,,,,politicians
harris,kamala,california,,united states,america,en,,,,,,politicians
hartzler,vicky,missouri,,united states,america,en,,,,,,politicians
hassan,margaret“maggie”,new hampshire,,united states,america,en,,,,,,politicians
hastings,alcee,florida,,united states,america,en,,,,,,politicians
hawley,joshua,missouri,,united states,america,en,,,,,,politicians
hayes,jahana,connecticut,,united states,america,en,,,,,,politicians
heck,denny,washington,,united states,america,en,,,,,,politicians
heinrich,martin,new mexico,,united states,america,en,,,,,,politicians
hern,kevin,oklahoma,,united states,america,en,,,,,,politicians
herrerabeutler,jaime,washington,,united states,america,en,,,,,,politicians
hice,jody,georgia,,united states,america,en,,,,,,politicians
higgins,brian,new york,,united states,america,en,,,,,,politicians
higgins,clay,louisiana,,united states,america,en,,,,,,politicians
hill,french,arkansas,,united states,america,en,,,,,,politicians
himes,james,connecticut,,united states,america,en,,,,,,politicians
hirono,mazie,hawaii,,united states,america,en,,,,,,politicians
hoeven,john,north dakota,,united states,america,en,,,,,,politicians
holding,george,north carolina,,united states,america,en,,,,,,politicians
hollingsworth,trey,indiana,,united states,america,en,,,,,,politicians
horn,kendra,oklahoma,,united states,america,en,,,,,,politicians
horsford,steven,nevada,,united states,america,en,,,,,,politicians
houlahan,chrissy,pennsylvania,,united states,america,en,,,,,,politicians
hoyer,steny,maryland,,united states,america,en,,,,,,politicians
hudson,richard,north carolina,,united states,america,en,,,,,,politicians
huffman,jared,california,,united states,america,en,,,,,,politicians
huizenga,bill,michigan,,united states,america,en,,,,,,politicians
hurd,will,texas,,united states,america,en,,,,,,politicians
hyde-smith,cindy,mississippi,,united states,america,en,,,,,,politicians
inhofe,james“jim”,oklahoma,,united states,america,en,,,,,,politicians
jacksonlee,sheila,texas,,united states,america,en,,,,,,politicians
jacobs,chris,new york,,united states,america,en,,,,,,politicians
jayapal,pramila,washington,,united states,america,en,,,,,,politicians
jeffries,hakeem,new york,,united states,america,en,,,,,,politicians
johnson,bill,ohio,,united states,america,en,,,,,,politicians
johnson,dusty,south dakota,,united states,america,en,,,,,,politicians
johnson,eddie,texas,,united states,america,en,,,,,,politicians
johnson,henry“hank”,georgia,,united states,america,en,,,,,,politicians
johnson,mike,louisiana,,united states,america,en,,,,,,politicians
johnson,ron,wisconsin,,united states,america,en,,,,,,politicians
jones,doug,alabama,,united states,america,en,,,,,,politicians
jordan,jim,ohio,,united states,america,en,,,,,,politicians
joyce,david,ohio,,united states,america,en,,,,,,politicians
joyce,john,pennsylvania,,united states,america,en,,,,,,politicians
kaine,timothy“tim”,virginia,,united states,america,en,,,,,,politicians
kaptur,marcy,ohio,,united states,america,en,,,,,,politicians
katko,john,new york,,united states,america,en,,,,,,politicians
keating,william,massachusetts,,united states,america,en,,,,,,politicians
keller,fred,pennsylvania,,united states,america,en,,,,,,politicians
kelly,mike,pennsylvania,,united states,america,en,,,,,,politicians
kelly,robin,illinois,,united states,america,en,,,,,,politicians
kelly,trent,mississippi,,united states,america,en,,,,,,politicians
kennedy,john,louisiana,,united states,america,en,,,,,,politicians
kennedy,joseph,massachusetts,,united states,america,en,,,,,,politicians
khanna,ro,california,,united states,america,en,,,,,,politicians
kildee,daniel,michigan,,united states,america,en,,,,,,politicians
kilmer,derek,washington,,united states,america,en,,,,,,politicians
kim,andy,new jersey,,united states,america,en,,,,,,politicians
kind,ron,wisconsin,,united states,america,en,,,,,,politicians
king,angus,maine,,united states,america,en,,,,,,politicians
king,peter“pete”,new york,,united states,america,en,,,,,,politicians
king,steve,iowa,,united states,america,en,,,,,,politicians
kinzinger,adam,illinois,,united states,america,en,,,,,,politicians
kirkpatrick,ann,arizona,,united states,america,en,,,,,,politicians
klobuchar,amy,minnesota,,united states,america,en,,,,,,politicians
krishnamoorthi,raja,illinois,,united states,america,en,,,,,,politicians
kuster,ann,new hampshire,,united states,america,en,,,,,,politicians
kustoff,david,tennessee,,united states,america,en,,,,,,politicians
lahood,darin,illinois,,united states,america,en,,,,,,politicians
lamalfa,doug,california,,united states,america,en,,,,,,politicians
lamb,conor,pennsylvania,,united states,america,en,,,,,,politicians
lamborn,doug,colorado,,united states,america,en,,,,,,politicians
langevin,james“jim”,rhode island,,united states,america,en,,,,,,politicians
lankford,james,oklahoma,,united states,america,en,,,,,,politicians
larsen,rick,washington,,united states,america,en,,,,,,politicians
larson,john,connecticut,,united states,america,en,,,,,,politicians
latta,robert,ohio,,united states,america,en,,,,,,politicians
lawrence,brenda,michigan,,united states,america,en,,,,,,politicians
lawson,al,florida,,united states,america,en,,,,,,politicians
leahy,patrick,vermont,,united states,america,en,,,,,,politicians
lee,barbara,california,,united states,america,en,,,,,,politicians
lee,mike,utah,,united states,america,en,,,,,,politicians
lee,susie,nevada,,united states,america,en,,,,,,politicians
lesko,debbie,arizona,,united states,america,en,,,,,,politicians
levin,andy,michigan,,united states,america,en,,,,,,politicians
levin,mike,california,,united states,america,en,,,,,,politicians
lieu,ted,california,,united states,america,en,,,,,,politicians
lipinski,daniel,illinois,,united states,america,en,,,,,,politicians
loebsack,david,iowa,,united states,america,en,,,,,,politicians
loeffler,kelly,georgia,,united states,america,en,,,,,,politicians
lofgren,zoe,california,,united states,america,en,,,,,,politicians
long,billy,missouri,,united states,america,en,,,,,,politicians
loudermilk,barry,georgia,,united states,america,en,,,,,,politicians
lowenthal,alan,california,,united states,america,en,,,,,,politicians
lowey,nita,new york,,united states,america,en,,,,,,politicians
lucas,frank,oklahoma,,united states,america,en,,,,,,politicians
luetkemeyer,blaine,missouri,,united states,america,en,,,,,,politicians
luján,ben,new mexico,,united states,america,en,,,,,,politicians
luria,elaine,virginia,,united states,america,en,,,,,,politicians
lynch,stephen,massachusetts,,united states,america,en,,,,,,politicians
malinowski,tom,new jersey,,united states,america,en,,,,,,politicians
maloney,carolyn,new york,,united states,america,en,,,,,,politicians
maloney,sean,new york,,united states,america,en,,,,,,politicians
manchin,joe,virginia,,united states,america,en,,,,,,politicians
marchant,kenny,texas,,united states,america,en,,,,,,politicians
markey,edward“ed”,massachusetts,,united states,america,en,,,,,,politicians
marshall,roger,kansas,,united states,america,en,,,,,,politicians
massie,thomas,kentucky,,united states,america,en,,,,,,politicians
mast,brian,florida,,united states,america,en,,,,,,politicians
matsui,doris,california,,united states,america,en,,,,,,politicians
mcadams,ben,utah,,united states,america,en,,,,,,politicians
mcbath,lucy,georgia,,united states,america,en,,,,,,politicians
mccarthy,kevin,california,,united states,america,en,,,,,,politicians
mccaul,michael,texas,,united states,america,en,,,,,,politicians
mcclintock,tom,california,,united states,america,en,,,,,,politicians
mccollum,betty,minnesota,,united states,america,en,,,,,,politicians
mcconnell,mitch,kentucky,,united states,america,en,,,,,,politicians
mceachin,donald,virginia,,united states,america,en,,,,,,politicians
mcgovern,james“jim”,massachusetts,,united states,america,en,,,,,,politicians
mchenry,patrick,north carolina,,united states,america,en,,,,,,politicians
mckinley,david,virginia,,united states,america,en,,,,,,politicians
mcmorrisrodgers,cathy,washington,,united states,america,en,,,,,,politicians
mcnerney,jerry,california,,united states,america,en,,,,,,politicians
mcsally,martha,arizona,,united states,america,en,,,,,,politicians
meeks,gregory,new york,,united states,america,en,,,,,,politicians
menendez,robert“bob”,new jersey,,united states,america,en,,,,,,politicians
meng,grace,new york,,united states,america,en,,,,,,politicians
merkley,jeff,oregon,,united states,america,en,,,,,,politicians
meuser,daniel,pennsylvania,,united states,america,en,,,,,,politicians
mfume,kweisi,maryland,,united states,america,en,,,,,,politicians
miller,carol,virginia,,united states,america,en,,,,,,politicians
mitchell,paul,michigan,,united states,america,en,,,,,,politicians
moolenaar,john,michigan,,united states,america,en,,,,,,politicians
mooney,alex,virginia,,united states,america,en,,,,,,politicians
moore,gwen,wisconsin,,united states,america,en,,,,,,politicians
moran,jerry,kansas,,united states,america,en,,,,,,politicians
morelle,joseph,new york,,united states,america,en,,,,,,politicians
moulton,seth,massachusetts,,united states,america,en,,,,,,politicians
mucarsel-powell,debbie,florida,,united states,america,en,,,,,,politicians
mullin,markwayne,oklahoma,,united states,america,en,,,,,,politicians
murkowski,lisa,alaska,,united states,america,en,,,,,,politicians
murphy,christopher,connecticut,,united states,america,en,,,,,,politicians
murphy,gregory,north carolina,,united states,america,en,,,,,,politicians
murphy,stephanie,florida,,united states,america,en,,,,,,politicians
murray,patty,washington,,united states,america,en,,,,,,politicians
nadler,jerrold,new york,,united states,america,en,,,,,,politicians
napolitano,grace,california,,united states,america,en,,,,,,politicians
neal,richard,massachusetts,,united states,america,en,,,,,,politicians
neguse,joe,colorado,,united states,america,en,,,,,,politicians
newhouse,dan,washington,,united states,america,en,,,,,,politicians
norcross,donald,new jersey,,united states,america,en,,,,,,politicians
norman,ralph,south carolina,,united states,america,en,,,,,,politicians
norton,eleanor,district of columbia,,united states,america,en,,,,,,politicians
nunes,devin,california,,united states,america,en,,,,,,politicians
ocasio-cortez,alexandria,new york,,united states,america,en,,,,,,politicians
olson,pete,texas,,united states,america,en,,,,,,politicians
