,first_name,middle_name,last_name,language_id,geographic_zone_id,category_id
351,delgado,NULL,antonio,0,31,0
352,engel,NULL,eliot,0,31,0
353,espaillat,NULL,adriano,0,31,0
354,gillibrand,NULL,kirsten,0,31,0
355,higgins,NULL,brian,0,31,0
356,jacobs,NULL,chris,0,31,0
357,jeffries,NULL,hakeem,0,31,0
358,katko,NULL,john,0,31,0
359,king,NULL,peter“pete”,0,31,0
360,lowey,NULL,nita,0,31,0
361,maloney,NULL,carolyn,0,31,0
362,maloney,NULL,sean,0,31,0
363,meeks,NULL,gregory,0,31,0
364,meng,NULL,grace,0,31,0
365,morelle,NULL,joseph,0,31,0
366,nadler,NULL,jerrold,0,31,0
367,ocasio-cortez,NULL,alexandria,0,31,0
368,reed,NULL,tom,0,31,0
369,rice,NULL,kathleen,0,31,0
370,rose,NULL,max,0,31,0
371,schumer,NULL,charles“chuck”,0,31,0
372,serrano,NULL,josé,0,31,0
373,stefanik,NULL,elise,0,31,0
374,suozzi,NULL,thomas,0,31,0
375,tonko,NULL,paul,0,31,0
376,velázquez,NULL,nydia,0,31,0
377,zeldin,NULL,lee,0,31,0
378,cooper,NULL,roy,0,32,0
379,adams,NULL,alma,0,32,0
380,bishop,NULL,dan,0,32,0
381,budd,NULL,ted,0,32,0
382,burr,NULL,richard,0,32,0
383,butterfield,NULL,george“g.k.”,0,32,0
384,foxx,NULL,virginia,0,32,0
385,holding,NULL,george,0,32,0
386,hudson,NULL,richard,0,32,0
387,mchenry,NULL,patrick,0,32,0
388,murphy,NULL,gregory,0,32,0
389,price,NULL,david,0,32,0
390,rouzer,NULL,david,0,32,0
391,tillis,NULL,thom,0,32,0
392,walker,NULL,mark,0,32,0
393,burgum,NULL,douglas,0,33,0
394,armstrong,NULL,kelly,0,33,0
395,cramer,NULL,kevin,0,33,0
396,hoeven,NULL,john,0,33,0
397,dewine,NULL,michael,0,34,0
398,balderson,NULL,troy,0,34,0
399,beatty,NULL,joyce,0,34,0
400,brown,NULL,sherrod,0,34,0
401,chabot,NULL,steve,0,34,0
402,davidson,NULL,warren,0,34,0
403,fudge,NULL,marcia,0,34,0
404,gibbs,NULL,bob,0,34,0
405,gonzalez,NULL,anthony,0,34,0
406,johnson,NULL,bill,0,34,0
407,jordan,NULL,jim,0,34,0
408,joyce,NULL,david,0,34,0
409,kaptur,NULL,marcy,0,34,0
410,latta,NULL,robert,0,34,0
411,portman,NULL,robert“rob”,0,34,0
412,ryan,NULL,tim,0,34,0
413,stivers,NULL,steve,0,34,0
414,turner,NULL,michael,0,34,0
415,wenstrup,NULL,brad,0,34,0
