first_name,last_name,state_code
sulecio,sanford,georgia
daryl,terrell,mississippi
trey,williams,texas
steven,grace,hawaii
cody,larsen,utah
clifton,dawson,ontario
alec,ogletree,georgia
chris,barclay,kentucky
steve,smith,california
chad,levitt,pennsylvania
ray,nealy,arkansas
sergio,kindle,california
brelan,chancellor,texas
lamont,thompson,california
ron,rivers,new jersey
mark,lewis,california
james,atkins,new york
tron,lafavor,florida
charles,tapper,maryland
andrae,thurman,texas
demetrin,veal,california
kedric,golston,georgia
brandon,king,alabama
quincy,wilson,florida
avery,moss,california
trey,watts,oklahoma
eric,kelly,wisconsin
tim,toone,arizona
jason,phillips,oklahoma
derrick,henry,florida
lance,dunbar,louisiana
mark,nzeocha,nan
shannon,taylor,virginia
brandon,dixon,florida
jeremy,zuttah,new jersey
jose,perez,north carolina
tony,fisher,ohio
mike,goff,illinois
hayden,epstein,california
travell,dixon,florida
dennis,kelly,illinois
james,stone,tennessee
brandon,jamison,south carolina
brandyn,thompson,california
kris,o'dowd,arizona
noel,scarlett,florida
lynn,scott,oklahoma
alejandro,villanueva,mississippi
shane,andrus,kentucky
ronde,barber,virginia
corey,white,georgia
damien,nash,florida
woody,dantzler,south carolina
lane,johnson,texas
julian,peterson,maryland
josh,doctson,alabama
julian,howsare,pennsylvania
britton,colquitt,tennessee
corey,brown,pennsylvania
thomas,rawls,michigan
josh,thomas,texas
brian,winters,ohio
grant,mason,michigan
tra,carson,texas
john,fisher,california
joe,odom,illinois
kam,chancellor,virginia
logan,mankins,california
john,mccargo,virginia
matt,walters,florida
kraig,urbik,illinois
michael,mauti,louisiana
jermaine,grace,florida
langston,walker,california
larry,warford,california
gilbert,harris,new york
raheem,mostert,florida
nate,ebner,ohio
kellen,moore,washington
jerry,jensen,california
jason,croom,georgia
ardarius,stewart,alabama
frank,omiyale,tennessee
fred,thomas,michigan
sharrif,floyd,pennsylvania
charles,johnson,california
brandon,magee,california
gary,banks,mississippi
lyle,leong,texas
antone,smith,florida
giovanni,carmazzi,california
rob,callaway,illinois
bryan,fletcher,missouri
nick,mangold,ohio
austin,pettis,california
hines,ward,nan
jamaar,taylor,nan
darcel,mcbath,texas
derrick,gardner,california
nico,siragusa,california
kentwan,balmer,north carolina
morgan,moses,virginia
martin,tevaseu,california
jake,scott,idaho
markus,wheaton,arizona
benji,olson,washington
bruce,thornton,georgia
jonathan,vilma,florida
j.d.,harmon,kentucky
gerran,walker,georgia
konrad,dean,new jersey
ben,ijalana,new jersey
javier,arenas,florida
paul,oliver,georgia
tamarick,vanover,florida
paul,perkins,arizona
james,develin,pennsylvania
jason,carter,texas
bryce,callahan,idaho
xavier,rhodes,florida
malcolm,kelly,texas
bubba,franks,california
jarious,jackson,mississippi
derrick,fletcher,texas
peppi,zellner,georgia
jason,goss,texas
jason,verrett,california
michael,floyd,minnesota
brian,rimpf,north carolina
mike,richardson,south carolina
mat,mcbriar,nan
jamal,young,mississippi
fred,weary,alabama
shamiel,gary,oklahoma
matt,mcgloin,pennsylvania
joe,iorio,ohio
jacob,ford,tennessee
justin,staples,illinois
bradie,ewing,wisconsin
brian,calhoun,georgia
cecil,shorts,ohio
ryan,perrilloux,louisiana
taiwan,jones,california
david,johnson,tennessee
mario,williams,north carolina
casey,fitzsimmons,montana
ben,jacobs,missouri
jermaine,eluemunor,nan
asa,jackson,california
'omar,ellison,georgia
charles,sims,texas
terence,newman,kansas
hakeem,valles,new jersey
fred,vinson,south carolina
paul,ernster,arizona
bobby,taylor,texas
robert,blanton,oregon
tyrone,carter,florida
amon,gordon,new york
dak,prescott,louisiana
jon,condo,pennsylvania
kyle,kalis,ohio
kendrick,ballantyne,maine
ladairis,jackson,colorado
patrick,estes,virginia
kamu,grugier-hill,hawaii
lamar,miller,florida
courtney,ledyard,ohio
nico,johnson,alabama
chris,carr,nevada
jordan,senn,oregon
ryan,smith,nan
mitch,king,iowa
joel,filani,arizona
antoine,caldwell,alabama
deshone,kizer,ohio
chuck,levy,california
oscar,johnson,mississippi
brad,ware,georgia
